,number,노래 이름,Artist
548,18,바람의 노래,조용필
549,18,"우리 사랑 이대로 (Duet With 이혜진) (영화 ""연풍연가"" 주제곡)",주영훈
550,18,난 아직 모르잖아요,이문세
551,18,백만송이 장미,심수봉
552,18,난 행복해,이소라
553,18,기억의 습작,전람회
554,18,슬픈 언약식,김정민
555,18,준비 없는 이별,녹색지대
556,18,가려진 시간 사이로,윤상
557,18,그리움으로 지는 너,코코
558,18,바람난 천사,김종환
559,18,넌 언제나,모노
560,18,회상 (December),터보
561,18,너의 뒤에서,박진영
562,18,남겨진 시간을 위하여,장혜리
563,18,너무 아픈 사랑은 사랑이 아니었음을,김광석
564,18,슬픈 얼굴,A.R.T
565,18,타인,영턱스클럽
566,18,7년간의 사랑,화이트
567,18,내가 날 버린 이유,베이시스
568,18,영원히 내게,안상수
569,18,그 아픔까지 사랑한거야,조정현
570,18,사랑일뿐야,김민우
571,18,너에게로 또 다시,변진섭
572,18,시청 앞 지하철 역에서,동물원
573,19,1994년 어느 늦은 밤,장혜진
574,19,여전히 아름다운지,김연우
575,19,편지,김광진
576,19,행복한 나를,에코
577,19,늦은 후회,보보
578,19,인형의 꿈,일기예보
579,19,또 다른 만남을 위해,김민종
580,19,To Heaven (천국으로 보낸 편지),조성모
581,19,그 후로 오랫동안,신승훈
582,19,사랑한 후에,신성우
583,19,시작되는 연인들을 위해,이원진
584,19,시작,박기영
585,19,내게 다시,더더 (THETHE)
586,19,결혼해줘,임창정
587,19,선글라스 (Feat. 9999 of 1%),칸토
588,19,난 아직 모르잖아요,이문세
589,19,중독된 사랑,조장혁
590,19,사랑할수록,부활
591,19,비(悲)의 Rhapsody,최재훈
592,19,사랑합니다,이재훈 (쿨)
593,19,내 곁에서 떠나가지 말아요,빛과 소금
594,19,잊지 말기로 해,이소라
595,19,당신은 천사와 커피를 마셔본 적이 있습니까,김성호
596,19,너의 의미,산울림
597,19,화려하지 않은 고백,이승환
598,19,별이 진다네,여행스케치
599,19,비오는 거리,이승훈
600,19,사랑이라는 이유로,조 트리오
601,19,그땐 그랬지,카니발
602,20,선글라스 (Feat. 9999 of 1%),칸토
603,20,한바탕 웃음으로,이선희
604,20,잠도 오지 않는 밤에,이승철
605,20,오늘같은 밤이면,박정운
606,20,예정된 시간을 위해,장덕
607,20,세상이 그대를 속일지라도,김장훈
608,20,서시,신성우
609,20,난 널 사랑해,신효범
610,20,멀어져 간 사람아,박상민
611,20,꿈결같은 세상,송시현
612,20,슬픈 계절에 만나요,백영규
613,20,슬픈 표정 하지 말아요,신해철
614,20,나의 하루,박정현
615,20,루비(淚悲):슬픈 눈물,핑클 (Fin.K.L)
616,20,칵테일 사랑,마로니에
617,20,바람아 멈추어다오,이지연
618,20,선글라스 (Feat. 9999 of 1%),칸토
619,20,누구보다 널 사랑해,비쥬
620,20,커플,젝스키스
621,20,언젠가는,이상은 (=Lee-tzsche)
622,20,귀로 (은상),박선주 (Pak Sun Zoo)
623,20,나만의 슬픔,김돈규
624,20,나를 슬프게 하는 사람들,김경호
625,20,발걸음,에메랄드 캐슬
626,20,너를 사랑하고도,전유나
627,20,당신은 어디 있나요 (2016 Ver.),양수경
628,20,타인,영턱스클럽
629,20,눈물,리아
630,20,슬픈 언약식,김정민
631,20,사랑했나봐,윤도현
632,20,천일동안,이승환
633,21,선글라스 (Feat. 9999 of 1%),칸토
634,21,그리움만 쌓이네,여진
635,21,고마워요,임현정
